"Supply","Demand","period","newsupply"
170,80,395,571
401,185,396,0
368,170,397,582
214,100,398,0
368,170,399,703
335,155,400,0
258,120,401,527
269,125,402,0
401,185,403,648
247,115,404,0
269,125,405,780
511,235,406,0
313,145,407,505
192,90,408,0
368,170,409,791
423,195,410,0
335,155,411,824
489,225,412,0
533,245,413,1517
984,450,414,0
159,75,415,571
412,190,416,0
423,195,417,692
269,125,418,0
643,295,419,824
181,85,420,0
654,300,421,879
225,105,422,0
203,95,423,450
247,115,424,0
489,225,425,637
148,70,426,0
423,195,427,989
566,260,428,0
489,225,429,758
269,125,430,0
401,185,431,824
423,195,432,0
203,95,433,615
412,190,434,0
236,110,435,450
214,100,436,0
236,110,437,703
467,215,438,0
258,120,439,494
236,110,440,0
302,140,441,725
423,195,442,0
236,110,443,505
269,125,444,0
434,200,445,824
390,180,446,0
247,115,447,582
335,155,448,0
247,115,449,670
423,195,450,0
599,275,451,1011
412,190,452,0
313,145,453,681
368,170,454,0
577,265,455,1407
830,380,456,0
192,90,457,527
335,155,458,0
236,110,459,450
214,100,460,0
214,100,461,395
181,85,462,0
335,155,463,560
225,105,464,0
423,195,465,956
533,245,466,0
379,175,467,637
258,120,468,0
302,140,469,604
302,140,470,0
324,150,471,725
401,185,472,0
621,285,473,857
236,110,474,0
401,185,475,604
203,95,476,0
313,145,477,703
390,180,478,0
269,125,479,582
313,145,480,0
511,235,481,780
269,125,482,0
247,115,483,406
159,75,484,0
423,195,485,615
192,90,486,0
225,105,487,560
335,155,488,0
214,100,489,428
214,100,490,0
401,185,491,802
401,185,492,0
401,185,493,1055
654,300,494,0
401,185,495,692
291,135,496,0
401,185,497,1055
654,300,498,0
368,170,499,703
335,155,500,0
753,345,501,1154
401,185,502,0
192,90,503,362
170,80,504,0
313,145,505,571
258,120,506,0
258,120,507,593
335,155,508,0
984,450,509,1396
412,190,510,0
269,125,511,637
368,170,512,0
203,95,513,582
379,175,514,0
401,185,515,637
236,110,516,0
335,155,517,637
302,140,518,0
236,110,519,461
225,105,520,0
841,385,521,1022
181,85,522,0
181,85,523,736
555,255,524,0
335,155,525,758
423,195,526,0
841,385,527,1187
346,160,528,0
335,155,529,824
489,225,530,0
401,185,531,703
302,140,532,0
555,255,533,1385
830,380,534,0
390,180,535,747
357,165,536,0
401,185,537,1242
841,385,538,0
357,165,539,802
